[,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ir,red
44587,996,3464,15104,-258,-27,-175,181447,90023
44727,1024,3276,15236,162,416,138,181263,90093
44867,804,3488,14924,-458,460,-596,181441,90023
45007,752,3460,15024,-134,36,39,181400,90038
45149,1004,3504,15004,-404,-130,-113,181636,90067
45289,1020,3340,15060,-190,279,-23,181602,89967
45429,988,3360,15052,-205,12,-44,181406,90136
45569,964,3356,15060,-69,-112,30,181445,90055
45709,1000,3364,15048,-85,177,-13,181454,90066
45851,1068,3316,15076,27,323,-18,181621,90024
45991,856,3448,15012,156,366,-73,181684,90108
46131,932,3764,15096,-212,527,-397,181420,90133
46271,600,3492,14972,3,-110,197,181498,90101
46411,916,3672,14924,-241,341,-246,181502,90096
46551,768,3456,14968,-175,84,-185,181595,90101
46693,640,3524,15040,-70,176,26,181741,90082
46833,844,3664,14984,-280,204,-156,181519,90114
46973,644,3524,15080,-235,154,-76,181548,90161
47113,696,3540,15056,-238,130,-136,181545,90125
47253,608,3492,15048,-242,62,-124,181662,90072
47395,800,3496,15032,-201,90,4,181615,90109
47535,736,3468,15024,-159,110,-85,181513,90008
47675,728,3440,15020,-202,167,-57,181490,90213
47815,692,3552,15028,-170,16,-98,181599,90115
47955,720,3428,15032,-131,191,-90,181550,90111
48097,644,3436,15064,-247,232,-115,181605,90115
48237,720,3564,14968,1,-41,80,181504,90043
48377,708,3552,15108,-18,315,-171,181605,90233
48517,708,3484,14852,-258,164,-163,181696,90195
48657,972,3988,14884,41,-151,180,181443,90131
48799,800,3760,14920,-268,231,-80,181496,90061
48939,868,3548,15064,-209,118,-166,181576,90139
49079,812,3612,15012,-249,-107,-18,181568,90221
49219,876,3636,14984,-192,16,-57,181461,90171
49359,824,3480,15024,-179,174,50,181468,90152
49499,844,3588,15160,-221,134,-45,181509,90131
49641,808,3444,14872,-178,113,-130,181716,90168
49781,772,3508,15068,-265,226,-36,181574,90198
49921,508,3612,15020,-150,890,-270,181423,90246
50061,536,3428,15044,-449,290,-331,181449,90191
50201,392,3256,15068,-436,-704,205,181497,90097
