time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ir,red
72713,6512,12608,8964,-5188,-4942,3656,157055,72130
72853,7368,11152,9048,-8349,-3493,4657,157040,72132
72993,8536,9564,9788,-10480,-3531,3390,156803,72040
73133,9148,6880,9824,-9181,-3733,-975,156494,71945
73275,8932,4456,8572,-5682,-5138,-7205,156831,72015
73415,10740,5444,8316,-4412,-4872,-9509,156656,72024
73555,11420,7236,9020,-338,-4853,-10524,156172,71995
73695,9260,8980,8464,-709,-4803,-7736,156512,72002
73835,9860,9932,8184,-639,-5735,-7664,156787,72013
73977,8012,11080,7332,1011,-2860,-8261,157072,72093
74117,6768,13044,7580,2262,-547,-6236,156889,72045
74257,8568,12720,7848,1546,1180,822,156598,72019
74397,8440,11676,6552,-880,3485,4238,156821,72049
74537,8992,12676,5628,-1142,2214,6546,156806,71976
74679,9356,11128,6224,-205,3421,8135,156755,71983
74819,12124,10708,6612,285,-641,6342,156537,71909
74959,10860,7540,7264,2140,3765,9974,156678,72030
75099,11964,6904,7852,588,2745,6922,156802,71979
75239,11816,6368,8796,1191,163,2645,156665,71968
75381,10120,4992,8212,2258,2102,-1672,157097,72064
75521,10408,7560,7424,901,888,-6694,157053,72040
75661,10604,8836,7100,1741,824,-7124,156885,72142
75801,10008,11056,8796,7402,4179,-7105,156202,71855
75941,9972,11164,8264,4463,5463,1741,155957,71869
76083,9984,13388,7568,4233,6442,6830,156091,71834
76223,9700,11224,5656,4077,7094,11415,156408,71923
76363,14644,14056,6852,1938,14531,20594,155122,71786
76503,9620,3364,9108,-1232,7167,23591,155021,71749
76643,10656,816,9724,5441,5832,18300,155279,71787
76785,10204,192,10248,8045,85,14364,155541,71749
76925,10672,-72,11624,4422,1487,8218,155871,71830
77065,8396,160,9556,4403,-3926,3388,155946,71942
77205,10892,3876,10112,9326,1081,-2027,156465,72100
77345,9752,5968,11484,7304,-2006,-6601,156976,72096
77487,11368,7616,10104,4892,-3028,-5415,157489,72186
77627,9016,9460,8144,8137,1954,-8395,157737,72253
77767,8440,13120,6584,7667,341,-10321,157924,72364
77907,4864,15508,5948,6438,-421,-9860,158157,72331
78047,3384,15716,5184,3816,-1322,-6417,158132,72317
78189,3604,15484,4164,64,-639,-253,157824,72174
78329,3700,15508,4068,-831,1679,3726,157799,72204
78469,4380,15464,3456,-1404,4685,7043,157718,72335
78609,4912,16856,2944,-1786,5286,7827,157619,72279
78749,4776,13296,3056,-498,3163,5541,157833,72336
78891,7396,14908,4464,-3003,-1566,2769,157791,72269
79031,8724,12640,5672,-2510,-2914,1765,157725,72222
79171,7240,12532,5520,-1247,-2002,-1961,157691,72334
79311,5444,12760,4572,-1789,-1233,-5924,157892,72354
79451,4904,15256,4416,-1055,-5014,-10926,158009,72387
79593,5300,15184,5196,790,-2369,-8870,157898,72299
79733,2784,14608,5848,1048,-4409,-8121,157696,72216
79873,1744,14536,5608,-612,-6538,-5326,157892,72432
80013,3104,15256,5548,-2139,-6464,1260,157843,72384
80153,3360,14936,5924,-4268,-5645,4242,157866,72372
80295,3456,14252,6572,-3284,-2195,6573,157681,72282
80435,5056,14172,7380,-3263,4888,9667,157566,72268
81039,6852,12764,8568,-4064,1676,5718,0,0
81427,8148,11628,7408,-1003,-7191,-12247,0,72499
81557,5732,12980,9456,149,81,-2165,158222,72520
81699,4524,13976,8184,-2197,-3524,169,158646,72573
