time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ir,red
118985,1072,-8380,10344,-7789,-2167,7988,175381,85372
119127,-1524,-9068,7036,6499,-4782,1633,175450,85366
119266,-4928,-540,11968,26202,-2688,-32768,174959,85579
119869,3320,-5628,16032,-680,4255,2126,0,0
120371,3576,-6820,13800,-10400,-625,8733,0,86063
120509,3264,-8388,11652,-1216,6686,4973,175276,85370
120651,4660,-2528,13512,-382,597,-394,175460,85408
120791,6048,-3020,14596,1145,-536,2149,175045,85254
120931,4308,-3792,16708,-663,1663,3983,174734,85370
121071,4664,-4896,13916,-4728,87,9429,174731,85278
121211,2932,-6072,13360,-5554,1241,8254,175217,85401
121353,2288,-7476,12864,-2740,605,5389,175951,85542
121493,1408,-8368,13068,-569,-308,3392,176355,85623
121633,-2968,-7952,8832,2117,656,-1683,176016,85417
121773,3696,3316,20540,24680,3348,-27378,176352,85985
121913,8048,-6248,13944,-4091,-3152,3884,175480,85346
122053,3376,-1568,14440,-831,-1723,1480,174636,85138
122195,5908,-1748,16148,-2184,763,5903,174821,85188
122335,2328,-4564,16072,-6992,-415,7074,174131,85077
122475,2252,-5652,14356,-6617,2890,8565,174647,85329
122615,-280,-8700,12040,-5259,2149,7412,175008,85263
122755,-1800,-8692,11284,-2714,-583,3248,175385,85410
123358,-12196,-6256,1464,14316,547,-15878,0,0
123961,-4512,-7336,11728,-4306,1677,4067,0,0
124564,8124,9292,31828,23166,5039,-22279,0,0
125167,644,-6664,13328,-7718,-3162,5982,0,0
125770,1364,-2764,14816,-2325,-3791,314,0,0
126125,316,-9220,10160,-8980,1011,10136,0,85110
126265,8576,-8608,18476,-6179,-5137,1247,176858,85594
126405,1300,-2844,13492,-3301,-2793,1215,175434,85336
126545,4996,-3116,15552,-913,-3271,1348,175181,85309
126687,2868,-6272,15312,-3947,73,1918,174788,85186
126827,4196,-7752,15544,-9395,2488,6736,175452,85337
126967,1088,-10080,9428,-14109,946,9196,175602,85480
127107,-2972,-10484,40,7956,-274,-1928,174974,85252
127247,4956,5200,27320,32767,6274,-16159,176910,86017
127387,3508,-8756,16884,-4858,-1482,2684,175995,85474
127529,4156,-1544,15164,-6683,163,1725,175976,85486
127669,4988,-6940,15692,-12246,690,3921,175434,85323
127809,964,-8788,10736,-14991,-1115,7545,175171,85450
127949,96,-9376,2496,3331,-4273,-59,174593,85211
128089,-3576,-8632,7656,32767,8287,-16188,174133,85248
128231,7300,-5404,22728,-2536,-11803,1111,176391,85431
128371,3212,-2160,14380,-6173,-539,2677,174947,85264
128511,4848,-4144,15016,-7367,-457,3856,174711,85282
128651,2392,-6712,15124,-11404,702,5682,175010,85404
128791,20,-10344,11104,-14241,2306,10957,175456,85479
128931,-596,-11112,4660,-8386,-2050,7293,175704,85505
129073,-4876,-10168,3700,7990,-7390,-420,176439,85608
129213,13528,5732,29168,32767,5061,-32768,177924,86104
129816,2468,-9060,14392,-2529,120,4540,0,0
130376,3752,-7196,14584,-11541,670,8719,0,85939
130516,4900,-13960,15432,-5710,-1273,3650,176882,85817
130656,4244,-3924,13828,-4638,1518,2353,176785,85736
130796,6168,-5584,14764,-6434,-346,6846,176418,85678
130938,1860,-9916,11276,-9977,-2954,11850,176253,85625
131078,-156,-11504,8832,-4337,-2022,7319,176924,85847
131218,260,-12508,8772,-1054,1048,1466,177671,86130
131358,-556,-12556,9572,-1644,-146,1350,178140,86226
131961,-6928,-10848,1252,9046,2898,-5249,0,0
132564,3420,-5248,13424,-8300,-1841,7280,0,0
133167,-6544,-7772,-1772,23555,-404,-19080,0,0
133770,4024,-8560,12680,-11811,3372,9508,0,0
134373,5736,-9964,24120,-4376,-4645,2504,0,0
134976,300,-12088,5636,-10103,-1293,7732,0,0
135579,8808,-4440,21236,-4267,-7095,709,0,0
136182,-460,-12656,8148,-2433,223,1806,0,0
136785,1512,-6412,9008,-20353,-252,10977,0,0
137171,-1696,-12084,4020,232,-344,647,0,86652
137774,-2560,-196,15136,-7126,3349,8565,0,0
138017,2376,-9984,11584,-6514,746,3701,177828,86057
138157,1432,-11128,5884,-2341,-4543,2234,177869,86135
138337,-16972,-5768,-7108,32767,5054,-32768,178218,86759
138477,1024,-11372,12896,-6175,4671,7426,177253,85924
138617,6524,-812,13720,253,-1292,-1212,177862,86109
138759,5976,-2944,14820,-798,750,1025,177740,85956
138899,4940,-4344,14744,-352,56,-251,176770,85808
139039,6604,-5912,17424,-5632,-436,3784,176674,85929
139179,4932,-7192,12820,-15977,94,14677,176781,85892
139419,-4912,-6992,-1380,3213,-5007,1923,174726,85709
139561,6996,-15656,14740,-8231,-1993,8450,176013,85460
139701,6800,-2772,12676,-2026,-2934,2762,175663,85502
139841,10552,-3348,13828,380,-811,2419,175599,85626
139981,5664,-6964,14568,-3802,457,2271,175148,85429
140121,6384,-8188,14540,-6006,2589,6266,175590,85544
140263,3968,-8824,10280,-12662,2146,11292,175932,85630
140866,-12864,-8428,-8108,16404,3172,-6898,0,0
141465,5012,-7128,15796,-7265,1635,2678,0,86221
141605,1664,-7552,16364,-5076,5095,4096,176362,85764
